Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked_Q,Embarked_S
0,3,0,0.2711736617240512,1,0,0.014151057562208049,B96 B98,False,True
1,1,1,0.4722292033174164,1,0,0.13913573538264068,C85,False,False
1,3,1,0.32143754712239253,0,0,0.015468569817999833,B96 B98,False,True
1,1,1,0.4345312892686604,1,0,0.10364429745562033,C123,False,True
0,3,0,0.4345312892686604,0,0,0.015712553569072387,B96 B98,False,True
0,3,0,0.36792055349407915,0,0,0.01650950209357577,B96 B98,True,False
0,1,0,0.6732847449107816,0,0,0.10122885832000206,E46,False,True
1,3,1,0.33400351847197784,0,2,0.021730754366528396,B96 B98,False,True
1,2,1,0.17064589092736868,1,0,0.058694292654020104,B96 B98,False,False
1,3,1,0.04498617743151546,1,1,0.03259622914329302,G6,False,True
0,3,0,0.24604171902488062,0,0,0.015712553569072387,B96 B98,False,True
0,3,0,0.4847951746670017,1,5,0.06104473451835265,B96 B98,False,True
0,3,1,0.17064589092736868,0,0,0.015330377421392339,B96 B98,False,True
1,2,0,0.36792055349407915,0,0,0.025374310111545468,B96 B98,False,True
0,3,1,0.38426740387031916,1,0,0.03513366015444757,B96 B98,False,True
1,3,1,0.36792055349407915,0,0,0.014102260811993537,B96 B98,False,False
0,2,0,0.4345312892686604,0,0,0.050748620223090936,B96 B98,False,True
1,2,0,0.4219653179190751,0,0,0.025374310111545468,D56,False,True
1,3,1,0.18321186227695402,0,0,0.015671954672893913,B96 B98,True,False
1,1,0,0.34656948982156316,0,0,0.06929138530460494,A6,False,True
0,3,1,0.09525006282985675,3,1,0.04113566043083236,B96 B98,False,True
1,3,1,0.4722292033174164,1,5,0.06126431989431795,B96 B98,False,True
0,3,0,0.36792055349407915,0,0,0.014102260811993537,B96 B98,False,False
0,1,0,0.2334757476752953,3,2,0.5133418122566507,C23 C25 C27,False,True
1,3,1,0.36792055349407915,0,0,0.01537917417160685,B96 B98,True,False
0,3,0,0.36792055349407915,0,0,0.015411575213749286,B96 B98,False,True
0,1,0,0.49736114601658704,0,0,0.05410739813385612,B96 B98,False,False
1,1,1,0.36792055349407915,1,0,0.2859895551532101,B78,False,False
1,3,1,0.36792055349407915,0,0,0.015126992566498259,B96 B98,True,False
0,1,0,0.34656948982156316,1,0,0.16038672010106003,B96 B98,False,False
0,1,0,0.5224930887157577,1,0,0.10149724044618187,B96 B98,False,True
1,3,0,0.36792055349407915,0,0,0.014110458666029575,B96 B98,False,False
0,3,0,0.2586076903744659,0,0,0.015712553569072387,B96 B98,False,True
0,3,1,0.22090977632571,2,0,0.03513366015444757,B96 B98,False,True
1,3,1,0.17064589092736868,1,0,0.021942337075458514,B96 B98,False,False
0,3,1,0.49736114601658704,1,0,0.018493968331299484,B96 B98,False,True
0,2,1,0.33400351847197784,1,0,0.04098927018018883,B96 B98,False,True
0,3,0,0.36792055349407915,0,0,0.015411575213749286,B96 B98,False,False
1,2,1,0.032420206081930136,1,2,0.08115719346076702,B96 B98,False,False
1,3,1,0.2334757476752953,0,0,0.01537917417160685,B96 B98,True,False
0,3,0,0.36792055349407915,0,0,0.015712553569072387,B96 B98,False,True
0,3,0,0.36792055349407915,1,0,0.030253985132996517,B96 B98,True,False
1,3,1,0.36792055349407915,0,0,0.015126992566498259,B96 B98,True,False
0,3,0,0.36792055349407915,2,0,0.04231498029001666,B96 B98,False,False
0,3,1,0.22090977632571,1,0,0.034743286152731485,B96 B98,False,True
0,3,0,0.08268409148027142,4,1,0.07746484096553544,B96 B98,False,True
0,3,0,0.2586076903744659,0,0,0.01522458606692728,B96 B98,False,True
1,1,1,0.610454888162855,1,0,0.1497654242623688,D33,False,False
1,2,1,0.35913546117114853,1,0,0.050748620223090936,B96 B98,False,True
1,1,0,0.36792055349407915,0,0,0.06929138530460494,C52,False,True
1,2,1,0.2586076903744659,0,0,0.020494635090094415,B96 B98,False,True
0,3,0,0.35285247549635584,0,0,0.014110458666029575,B96 B98,False,False
1,2,1,0.05755214878110078,1,2,0.05416439273810667,B96 B98,False,True
0,3,0,0.1329479768786127,5,2,0.09154270340242172,B96 B98,False,True
0,3,0,0.2711736617240512,0,0,0.014110458666029575,B96 B98,False,False
1,1,1,0.4722292033174164,0,0,0.15614960068643363,B28,False,True
0,1,0,0.5601910027645137,1,0,0.16293234896625058,C83,False,True
0,3,0,0.04498617743151546,3,2,0.05445717323939373,B96 B98,False,True
0,1,0,0.36792055349407915,0,0,0.05410739813385612,B96 B98,False,False
1,3,0,0.36792055349407915,1,1,0.029757819776815374,B96 B98,False,False
1,2,1,0.35913546117114853,0,0,0.020494635090094415,F33,False,True
0,3,0,0.2334757476752953,0,0,0.015923941091001644,B96 B98,False,True
1,3,1,0.20834380497612465,4,2,0.015468569817999833,B96 B98,False,True
0,3,0,0.32143754712239253,2,0,0.016908073949327893,B96 B98,False,True
0,2,0,0.39683337521990447,0,0,0.020494635090094415,B96 B98,False,True
0,3,1,0.19577783362653933,5,2,0.09154270340242172,B96 B98,False,True
0,2,0,0.2586076903744659,0,0,0.1434624456306609,B96 B98,False,True
0,3,0,0.32143754712239253,1,0,0.028212719478023115,B96 B98,False,False
1,3,0,0.39683337521990447,0,0,0.11027245763075773,B96 B98,False,True
0,3,0,0.3088715757728072,0,0,0.014931805565640218,F G73,False,True
0,3,0,0.36792055349407915,0,0,0.015411575213749286,B96 B98,False,True
0,3,0,0.36792055349407915,0,0,0.015712553569072387,B96 B98,False,True
1,3,1,0.37170143252073384,0,0,0.024349578357040744,B96 B98,False,True
0,3,0,0.2711736617240512,0,0,0.017566830077223785,B96 B98,False,True
1,3,0,0.35913546117114853,0,0,0.018542765081513996,B96 B98,False,True
1,3,1,0.36792055349407915,0,0,0.015200187691820024,B96 B98,True,False
0,1,0,0.34656948982156316,0,0,0.09193307740413781,B96 B98,False,True
1,2,1,0.20834380497612465,0,0,0.020494635090094415,B96 B98,False,True
1,3,1,0.4093993465694898,3,0,0.030937139635999665,B96 B98,False,True
0,3,0,0.19577783362653933,1,3,0.06709553154495196,B96 B98,False,True
